categoria_ruralidad_2024,cod_natujur,count_a,count_de,departamento,dinamica_2024,divipola,documento_justificativo,estado_folio,fecha_apertura_texto,fecha_radica_texto,matricula,municipio,nombre_natujur,num_anotacion,orip,pk,predios_nuevos,tiene_mas_de_un_valor,tiene_valor,tipo_predio_zona,valor,year_radica
Ciudades y aglomeraciones,444,1,1,BOGOTÁ D.C.,0,11001,04-OFICIO 13681 DE 28-09-2017; INSTITUTO DE DESARROLLO URBANO - IDU DE BOGOTA D. C.,,1972-01-24 00:00:00,2017-10-04 00:00:00,50C-1663,BOGOTÁ D.C.,EMBARGO POR JURISDICCIÓN COACTIVA,8,50C,11001-50C-001663-00008-00444-2017,0,0,0,URBANO,,2017
Ciudades y aglomeraciones,308,1,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 1915 DE 09-09-2015; NOTARIA TREINTA Y CINCO DE BOGOTA D. C.,,1972-01-24 00:00:00,2020-03-10 00:00:00,50C-1664,BOGOTÁ D.C.,COMPRAVENTA NUDA PROPIEDAD,7,50C,11001-50C-001664-00007-00308-2020,0,0,0,URBANO,,2020
Ciudades y aglomeraciones,333,1,0,BOGOTÁ D.C.,1,11001,01-ESCRITURA 1915 DE 09-09-2015; NOTARIA TREINTA Y CINCO DE BOGOTA D. C.,,1972-01-24 00:00:00,2020-03-10 00:00:00,50C-1664,BOGOTÁ D.C.,RESERVA DERECHO DE USUFRUCTO,8,50C,11001-50C-001664-00008-00333-2020,0,0,0,URBANO,,2020
Ciudades y aglomeraciones,308,3,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 1254 DE 19-05-2018; NOTARIA PRIMERA DE FLORENCIA,,1972-01-25 00:00:00,2018-05-28 00:00:00,50C-1680,BOGOTÁ D.C.,COMPRAVENTA NUDA PROPIEDAD,13,50C,11001-50C-001680-00013-00308-2018,0,0,0,URBANO,,2018
Ciudades y aglomeraciones,308,3,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 1254 DE 19-05-2018; NOTARIA PRIMERA DE FLORENCIA,,1972-01-25 00:00:00,2018-05-28 00:00:00,50C-1680,BOGOTÁ D.C.,COMPRAVENTA NUDA PROPIEDAD,14,50C,11001-50C-001680-00014-00308-2018,0,0,0,URBANO,,2018
Ciudades y aglomeraciones,843,10,2,BOGOTÁ D.C.,0,11001,01-ESCRITURA 3159 DE 26-11-2018; NOTARIA PRIMERA DE FLORENCIA,,1972-01-25 00:00:00,2018-12-07 00:00:00,50C-1680,BOGOTÁ D.C.,CANCELACIÓN POR VOLUNTAD DE LAS PARTES,15,50C,11001-50C-001680-00015-00843-2018,0,0,0,URBANO,,2018
Ciudades y aglomeraciones,843,1,1,BOGOTÁ D.C.,0,11001,01-ESCRITURA 1639 DE 18-04-1977; NOTARIA SEPTIMA DE BOGOTA D. C.,,1972-01-25 00:00:00,2019-03-04 00:00:00,50C-1680,BOGOTÁ D.C.,CANCELACIÓN POR VOLUNTAD DE LAS PARTES,16,50C,11001-50C-001680-00016-00843-2019,0,0,0,URBANO,,2019
Ciudades y aglomeraciones,125,1,10,BOGOTÁ D.C.,1,11001,01-ESCRITURA 5508 DE 03-10-2019; NOTARIA SESENTA Y OCHO DE BOGOTA D.C.,,1972-01-25 00:00:00,2019-11-26 00:00:00,50C-1680,BOGOTÁ D.C.,COMPRAVENTA,17,50C,11001-50C-001680-00017-00125-2019,0,0,0,URBANO,,2019
Ciudades y aglomeraciones,843,1,1,BOGOTÁ D.C.,0,11001,01-ESCRITURA 66 DE 18-01-2023; NOTARIA DIECIOCHO DE BOGOTA D.C.,,1972-01-27 00:00:00,2023-02-15 00:00:00,50C-1687,BOGOTÁ D.C.,CANCELACIÓN POR VOLUNTAD DE LAS PARTES,18,50C,11001-50C-001687-00018-00843-2023,0,0,0,URBANO,,2023
Ciudades y aglomeraciones,127,1,0,BOGOTÁ D.C.,1,11001,01-ESCRITURA 66 DE 18-01-2023; NOTARIA DIECIOCHO DE BOGOTA D.C.,,1972-01-27 00:00:00,2023-02-15 00:00:00,50C-1687,BOGOTÁ D.C.,CONSOLIDACIÓN DE DOMINIO PLENO,19,50C,11001-50C-001687-00019-00127-2023,0,0,0,URBANO,,2023
Ciudades y aglomeraciones,307,1,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 1364 DE 01-08-2023; NOTARIA CINCUENTA Y CINCO DE BOGOTA D.C.,,1972-01-27 00:00:00,2023-08-15 00:00:00,50C-1687,BOGOTÁ D.C.,COMPRAVENTA DERECHOS DE CUOTA,20,50C,11001-50C-001687-00020-00307-2023,0,0,1,URBANO,180000000,2023
Ciudades y aglomeraciones,301,1,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 2387 DE 18-07-2008; NOTARIA CUARENTA Y DOS DE BOGOTA D. C.,,1972-01-27 00:00:00,2021-02-19 00:00:00,50C-1689,BOGOTÁ D.C.,ADJUDICACIÓN SUCESIÓN DERECHO DE CUOTA,13,50C,11001-50C-001689-00013-00301-2021,0,0,0,URBANO,,2021
Ciudades y aglomeraciones,125,1,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 2560 DE 02-10-2015; NOTARIA VEINTICINCO DE BOGOTA D. C.,,1972-01-26 00:00:00,2015-10-15 00:00:00,50C-1704,BOGOTÁ D.C.,COMPRAVENTA,12,50C,11001-50C-001704-00012-00125-2015,0,0,0,URBANO,,2015
Ciudades y aglomeraciones,168,1,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 1710 DE 17-08-2017; NOTARIA OCTAVA DE BOGOTA D. C.,,1972-01-26 00:00:00,2017-09-05 00:00:00,50C-1704,BOGOTÁ D.C.,TRANSFERENCIA DE DOMINIO A TÍTULO DE LEASING HABITACIONAL DE  VIVIENDA FAMILIAR,13,50C,11001-50C-001704-00013-00168-2017,0,0,0,URBANO,,2017
